external_id,baslik,mevcut_kategori,tam_kategori_yollari,glosh_skoru,hdbscan_kume,oneri_yol,oneri_kategori,label_sim_fark,knn_oneri,knn_baskinlik,knn_impurity,ortak_agac_derinligi,oncelik,supheli_mi,risk_skoru
1442059,Göçle Kesintiye Uğrayan Gelecek: Mevsimlik Tarımda Çocuk İşçiliği ve Eğitime Erişim Üzerine Nitel Bir Araştırma,"Eğitim, Eğitim Araştırmaları, Sosyoloji","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları | Sosyal > Sosyal > Sosyoloji",0.8470612978512122,-1,Fen > Ziraat > Tarımsal Ekonomi ve Politika,Tarımsal Ekonomi ve Politika,0.11014282703399658,Tarımsal Ekonomi ve Politika,0.3,0.8,0,KRİTİK (Farklı Ana Disiplin),1,0.5703153139247019
1399531,Development and validation of caregiver’s attitudes toward drug addict’s recovery scale,"Madde Bağımlılığı, Psikoloji",Sosyal > Sosyal > Madde Bağımlılığı | Sosyal > Sosyal > Psikoloji,0.8762226826726061,-1,Fen > Tıp > Rehabilitasyon,Rehabilitasyon,0.20151562988758087,Psikiyatri,0.5,0.7,0,KRİTİK (Farklı Ana Disiplin),1,0.5695861411288048
1436122,SANAYİ 4.0: ÇEŞİTLİ ÜLKE ÖRNEKLERİ ÜZERİNDEN ULUSAL POLİTİKALARIN VE STRATEJİLERİN İNCELEMESİ,"Kamu Yönetimi, İşletme",Sosyal > Sosyal > Kamu Yönetimi | Sosyal > Sosyal > İşletme,0.8441809761047854,-1,"Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji","Yeşil, Sürdürülebilir Bilim ve Teknoloji",0.10972899198532104,Endüstri Mühendisliği,0.3,0.8,0,KRİTİK (Farklı Ana Disiplin),1,0.5694503912210588
1375957,Hayvanları Koruma Kanunu’nda Yapılan Düzenlemelerle İlgili Çıkan Haberler Üzerinden Bir Söylem Analizi,"Antropoloji, Hukuk, Mantık",Sosyal > Sosyal > Antropoloji | Sosyal > Sosyal > Hukuk | Sosyal > Sosyal > Mantık,0.4466010908311947,-1,Fen > Veterinerlik > Veterinerlik,Veterinerlik,0.2660987675189972,Parazitoloji,0.3,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.5647848413394477
1402010,Partnerin Tampon İşlevi: Kavramsal Bir Derleme,Psikiyatri,Fen > Tıp > Psikiyatri,0.8482135699970166,-1,Sosyal > Sosyal > Madde Bağımlılığı,Madde Bağımlılığı,0.20571136474609375,Aile Çalışmaları,0.3,0.7,0,KRİTİK (Farklı Ana Disiplin),1,0.5640523701603869
1378102,"Perlit Katkılı Seramiklerde Sinterleme Tabanlı Faz, Mikroyapı ve Mikrogerinim Evrimi","Malzeme Bilimleri, Seramik","Fen > Mühendislik > Malzeme Bilimleri, Seramik",0.834528700704009,-1,Fen > Temel Bilimler > Mikroskopi,Mikroskopi,0.0975918173789978,Fizik,0.4,0.8,1,YÜKSEK (Farklı Alt Alan),1,0.5627893112586515
1376002,Adli Vaka ve Adli Delil Yönetimi Eğitimi: Paramedik Öğrenci Örneği,Adli Tıp,Fen > Tıp > Adli Tıp,0.561646357398466,54,"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları","Eğitim, Eğitim Araştırmaları",0.1766895353794098,Eğitim,0.3,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.5622529267324099
1385046,"Google Earth Pro (GEP) Verilerinden Sayısal Yükseklik Modeli (SYM) Üretme Yöntemlerinin Farklı Arazi Tiplerine, Test Verilerine, Enterpolasyon Yöntemlerine Göre Doğruluklarının Analizi","Mikroskopi, Optik, Coğrafya",Fen > Temel Bilimler > Mikroskopi | Fen > Temel Bilimler > Optik | Sosyal > Sosyal > Coğrafya,0.8858336492633366,-1,Fen > Mühendislik > Jeoloji,Jeoloji,0.1704138219356537,Bilgisayar Bilimleri,0.5,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.561103249993313
1232595,Çam Ağaçlarında Mantar Hastalığının İzlenmesi için Üçgen Yeşillik İndeksi Analizi: İHA Tabanlı Bir Yaklaşım,"Görüntüleme Bilimi ve Fotoğraf Teknolojisi, Ekoloji, Kuş Bilimi, Matematik, Mikroskopi, Çevre Bilimleri",Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi | Fen > Temel Bilimler > Ekoloji | Fen > Temel Bilimler > Kuş Bilimi | Fen > Temel Bilimler > Matematik | Fen > Temel Bilimler > Mikroskopi | Fen > Temel Bilimler > Çevre Bilimleri,0.923675148345341,-1,Fen > Ziraat > Bahçe Bitkileri,Bahçe Bitkileri,0.12223273515701294,Bilgisayar Bilimleri,0.4,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.5537002443912897
1392054,Analysis and optimization of the adsorption of lead ions on a new material based on silica synthesized from blast furnace slag,"Kimya, İnorganik ve Nükleer, Çevre Bilimleri","Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer | Fen > Temel Bilimler > Çevre Bilimleri",0.8527418729802146,-1,Fen > Mühendislik > Metalürji Mühendisliği,Metalürji Mühendisliği,0.1636410653591156,Malzeme Bilimleri,0.6,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.5504598411207441
