cluster_id,taxonomy_path,display_name_level_1,display_name_level_2,display_name_level_3,x_center,y_center,size,dominant_category,category_purity
218,Sosyal > Folklor,Sosyal,Folklor,Folklor,8.928313,7.588723,3,Sosyal > Folklor,0.67
219,Sosyal > İşletme,Sosyal,Küme #219,Küme #219,5.570337,7.419206,4,Sosyal > İşletme,0.25
222,Fen > Tıp > Spor Bilimleri,Fen,Tıp,Spor Bilimleri,6.117875,8.160648,1,Fen > Tıp > Spor Bilimleri,1.0
224,Fen > Temel Bilimler > Entomoloji,Fen,Temel Bilimler,Entomoloji,9.106511,4.5105586,2,Fen > Temel Bilimler > Entomoloji,0.5
225,"Fen > Ziraat > Ziraat, Toprak Bilimi",Fen,Ziraat,"Ziraat, Toprak Bilimi",9.416796,4.9239707,1,"Fen > Ziraat > Ziraat, Toprak Bilimi",1.0
226,Fen > Veterinerlik,Fen,Veterinerlik,Veterinerlik,8.920483,5.27297,1,Fen > Veterinerlik,1.0
239,Fen > Diş Hekimliği,Fen,Diş Hekimliği,Diş Hekimliği,9.628563,8.658673,1,Fen > Diş Hekimliği,1.0
242,Fen > Temel Bilimler > Mikroskopi,Fen,Temel Bilimler,Mikroskopi,9.989551,9.001311,1,Fen > Temel Bilimler > Mikroskopi,1.0
243,"Fen > Mühendislik > Mühendislik, Makine",Fen,Küme #243,Küme #243,8.343899,9.767446,4,"Fen > Mühendislik > Mühendislik, Makine",0.25
247,Fen > Tıp > Üroloji ve Nefroloji,Fen,Küme #247,Küme #247,7.640329,6.6807485,3,Fen > Tıp > Üroloji ve Nefroloji,0.33
248,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,Tıp,Biyokimya ve Moleküler Biyoloji,10.904626,7.6151466,2,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,0.5
249,Fen > Temel Bilimler > Çevre Bilimleri,Fen,Temel Bilimler,Çevre Bilimleri,5.651847,6.6147523,4,Fen > Temel Bilimler > Çevre Bilimleri,0.5
254,Fen > Temel Bilimler > Fizikokimya,Fen,Temel Bilimler,Fizikokimya,10.263244,8.343437,3,Fen > Temel Bilimler > Fizikokimya,0.67
258,"Fen > Temel Bilimler > Fizik, Uygulamalı",Fen,Temel Bilimler,"Fizik, Uygulamalı",10.236938,8.756045,2,"Fen > Temel Bilimler > Fizik, Uygulamalı",1.0
259,"Fen > Temel Bilimler > Kimya, Organik",Fen,Temel Bilimler,"Kimya, Organik",10.231235,8.515487,2,"Fen > Temel Bilimler > Kimya, Organik",1.0
260,Sosyal > Çevre Çalışmaları,Sosyal,Çevre Çalışmaları,Çevre Çalışmaları,6.5322924,7.2677107,2,Sosyal > Çevre Çalışmaları,0.5
263,Sosyal > Hukuk,Sosyal,Hukuk,Hukuk,6.891881,7.8757606,1,Sosyal > Hukuk,1.0
265,"Fen > Temel Bilimler > Kimya, Analitik",Fen,Temel Bilimler,"Kimya, Analitik",7.5583334,8.162816,1,"Fen > Temel Bilimler > Kimya, Analitik",1.0
269,Fen > Temel Bilimler > Mantar Bilimi,Fen,Küme #269,Küme #269,8.04405,5.0958,9,Fen > Temel Bilimler > Mantar Bilimi,0.33
270,Fen > Eczacılık > Farmakoloji ve Eczacılık,Fen,Küme #270,Küme #270,9.891399,4.5871925,11,Fen > Eczacılık > Farmakoloji ve Eczacılık,0.27
271,Fen > Ziraat > Ziraat Mühendisliği,Fen,Küme #271,Küme #271,9.550369,5.235389,3,Fen > Ziraat > Ziraat Mühendisliği,0.33
272,"Fen > Ziraat > Ziraat, Toprak Bilimi",Fen,Ziraat,"Ziraat, Toprak Bilimi",9.851858,5.0679317,1,"Fen > Ziraat > Ziraat, Toprak Bilimi",1.0
273,Fen > Ziraat > Bahçe Bitkileri,Fen,Ziraat,Bahçe Bitkileri,9.928056,5.590213,1,Fen > Ziraat > Bahçe Bitkileri,1.0
274,Fen > Temel Bilimler > Mantar Bilimi,Fen,Temel Bilimler,Mantar Bilimi,9.571427,5.404935,2,Fen > Temel Bilimler > Mantar Bilimi,0.5
281,Sosyal > Beşeri Bilimler,Sosyal,Küme #281,Küme #281,2.5221748,7.9468007,8,Sosyal > Beşeri Bilimler,0.38
283,Sosyal > Tiyatro,Sosyal,Tiyatro,Tiyatro,1.544898,5.6233644,1,Sosyal > Tiyatro,1.0
292,"Sosyal > Bilgi, Belge Yönetimi",Sosyal,"Bilgi, Belge Yönetimi","Bilgi, Belge Yönetimi",0.9218792,7.3530293,1,"Sosyal > Bilgi, Belge Yönetimi",1.0
