external_id,subject_id,subject_name,subject_fullname,root_name
1137599,140,"Mühendislik, Deniz","Fen > Mühendislik > Mühendislik, Deniz",Fen
1137599,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen
1137599,145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine",Fen
1137599,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1137599,95,İmalat Mühendisliği,Fen > Mühendislik > İmalat Mühendisliği,Fen
1137599,97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen
1137602,47,Denizcilik,Fen > Mühendislik > Denizcilik,Fen
1137602,140,"Mühendislik, Deniz","Fen > Mühendislik > Mühendislik, Deniz",Fen
1137602,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen
1137602,145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine",Fen
1137602,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1137602,95,İmalat Mühendisliği,Fen > Mühendislik > İmalat Mühendisliği,Fen
1137602,97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen
1137616,47,Denizcilik,Fen > Mühendislik > Denizcilik,Fen
1137616,137,Mimarlık,Fen > Mühendislik > Mimarlık,Fen
1137616,140,"Mühendislik, Deniz","Fen > Mühendislik > Mühendislik, Deniz",Fen
1137616,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen
1137616,145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine",Fen
1137616,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1137616,95,İmalat Mühendisliği,Fen > Mühendislik > İmalat Mühendisliği,Fen
1137616,97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen
1137664,122,Maden İşletme ve Cevher Hazırlama,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,Fen
1137664,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1137664,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal
1137664,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal
1137664,102,İşletme Finans,Sosyal > Sosyal > İşletme Finans,Sosyal
1138602,33,"Bilgisayar Bilimleri, Yazılım Mühendisliği","Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",Fen
1138602,145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine",Fen
1138602,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1138602,114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı",Fen
1138602,132,Matematik,Fen > Temel Bilimler > Matematik,Fen
1138602,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal
1139808,66,Farmakoloji ve Eczacılık,Fen > Eczacılık > Farmakoloji ve Eczacılık,Fen
1139808,196,Toksikoloji,Fen > Eczacılık > Toksikoloji,Fen
1139808,74,Fizikokimya,Fen > Temel Bilimler > Fizikokimya,Fen
1139808,110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen
1139808,113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi",Fen
1139808,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1139808,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen
1140115,31,"Bilgisayar Bilimleri, Teori ve Metotlar","Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar",Fen
1140115,32,"Bilgisayar Bilimleri, Yapay Zeka","Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",Fen
1140115,33,"Bilgisayar Bilimleri, Yazılım Mühendisliği","Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",Fen
1140115,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1140115,76,"Fizik, Uygulamalı","Fen > Temel Bilimler > Fizik, Uygulamalı",Fen
1140115,190,Termodinamik,Fen > Temel Bilimler > Termodinamik,Fen
1140226,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1140226,77,Fizyoloji,Fen > Tıp > Fizyoloji,Fen
1140226,172,Sağlık Bilimleri ve Hizmetleri,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen
1140226,181,Spor Bilimleri,Fen > Tıp > Spor Bilimleri,Fen
1142857,70,"Fizik, Atomik ve Moleküler Kimya","Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya",Fen
1142857,72,"Fizik, Matematik","Fen > Temel Bilimler > Fizik, Matematik",Fen
1142857,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1143056,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1143056,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal
1143056,167,Psikoloji,Sosyal > Sosyal > Psikoloji,Sosyal
1143221,61,Enfeksiyon Hastalıkları,Fen > Tıp > Enfeksiyon Hastalıkları,Fen
1143221,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1143221,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1143608,16,Anatomi ve Morfoloji,Fen > Tıp > Anatomi ve Morfoloji,Fen
1143608,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1143608,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen
1143608,153,Onkoloji,Fen > Tıp > Onkoloji,Fen
1143608,168,"Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme","Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",Fen
1143951,60,Enerji ve Yakıtlar,Fen > Mühendislik > Enerji ve Yakıtlar,Fen
1143951,122,Maden İşletme ve Cevher Hazırlama,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,Fen
1143951,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1144930,87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen
1144930,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1144930,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1144930,173,Sağlık Politikaları ve Hizmetleri,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,Sosyal
1146596,31,"Bilgisayar Bilimleri, Teori ve Metotlar","Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar",Fen
1146596,32,"Bilgisayar Bilimleri, Yapay Zeka","Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",Fen
1146596,33,"Bilgisayar Bilimleri, Yazılım Mühendisliği","Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",Fen
1146596,136,Mikroskopi,Fen > Temel Bilimler > Mikroskopi,Fen
1146596,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1146596,189,Temel Sağlık Hizmetleri,Fen > Tıp > Temel Sağlık Hizmetleri,Fen
1146596,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1146632,196,Toksikoloji,Fen > Eczacılık > Toksikoloji,Fen
1146632,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1146632,113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi",Fen
1146632,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1146632,202,Viroloji,Fen > Temel Bilimler > Viroloji,Fen
1146632,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1146767,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1146767,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1146767,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1146767,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1147057,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1147057,132,Matematik,Fen > Temel Bilimler > Matematik,Fen
1147258,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1147258,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1147258,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1147576,74,Fizikokimya,Fen > Temel Bilimler > Fizikokimya,Fen
1147576,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
