cluster_id,initial_seed_subject,article_count
184,Sosyal > Sosyal > Sosyal Çalışma,16
185,Sosyal > Sosyal > Sosyoloji,23
186,Sosyal > Sosyal > Tarih,45
187,Sosyal > Sosyal > Tiyatro,24
188,Sosyal > Sosyal > Uluslararası İlişkiler,36
189,Sosyal > Sosyal > Çevre Çalışmaları,61
190,Sosyal > Sosyal > İktisat,52
191,Sosyal > Sosyal > İletişim,35
192,Sosyal > Sosyal > İş,20
193,Sosyal > Sosyal > İşletme,38
194,Sosyal > Sosyal > İşletme Finans,30
