cluster_id,subject_fullname
183,Sosyal > Sosyal > Siyasi Bilimler
184,Sosyal > Sosyal > Sosyal Çalışma
185,Sosyal > Sosyal > Sosyoloji
186,Sosyal > Sosyal > Tarih
187,Sosyal > Sosyal > Tiyatro
188,Sosyal > Sosyal > Uluslararası İlişkiler
189,Sosyal > Sosyal > Çevre Çalışmaları
190,Sosyal > Sosyal > İktisat
191,Sosyal > Sosyal > İletişim
192,Sosyal > Sosyal > İş
193,Sosyal > Sosyal > İşletme
194,Sosyal > Sosyal > İşletme Finans
